FIPS,State,County,obeses pct,Food Environment Index,PI,wellnesspct,num pcp,PCP Ratio,unemploy pct,child poverty,single parent  hh pct
17000,Illinois,,27,8.0,21,89,10351,1244:1,5.9,19,32
17001,Illinois,Adams,37,8.0,24,78,56,1196:1,5.0,19,30
17003,Illinois,Alexander,28,3.8,25,45,1,7492:1,8.6,52,61
17005,Illinois,Bond,30,7.9,26,55,10,1727:1,5.3,19,29
17007,Illinois,Boone,34,8.9,23,76,28,1924:1,6.6,15,26
17009,Illinois,Brown,28,7.4,24,11,1,6832:1,3.7,16,20
17011,Illinois,Bureau,29,7.4,27,65,17,1991:1,6.5,19,32
17013,Illinois,Calhoun,29,8.0,28,0,2,2478:1,6.8,16,16
17015,Illinois,Carroll,29,8.2,25,59,3,4905:1,5.5,19,30
17017,Illinois,Cass,28,8.5,24,53,1,13156:1,5.7,18,35
17019,Illinois,Champaign,25,7.2,19,84,173,1197:1,5.2,18,37
17021,Illinois,Christian,32,8.0,26,59,13,2607:1,6.6,19,36
17023,Illinois,Clark,33,8.1,29,59,6,2697:1,6.3,22,31
17025,Illinois,Clay,31,7.9,29,52,2,6760:1,7.1,21,46
17027,Illinois,Clinton,30,8.6,26,60,15,2524:1,4.5,12,24
17029,Illinois,Coles,26,7.1,24,78,34,1568:1,6.2,25,38
17031,Illinois,Cook,25,7.9,20,99,4942,1062:1,6.1,24,38
17033,Illinois,Crawford,31,8.0,22,56,9,2155:1,6.0,20,24
17035,Illinois,Cumberland,28,8.5,23,1,,,5.4,18,27
17037,Illinois,DeKalb,28,6.9,19,81,39,2704:1,5.6,16,32
17039,Illinois,De Witt,31,8.5,24,77,6,2714:1,5.6,19,28
17041,Illinois,Douglas,31,8.6,25,71,5,3978:1,5.0,16,26
17043,Illinois,DuPage,23,8.9,17,99,1241,752:1,4.7,9,19
17045,Illinois,Edgar,30,6.8,24,47,5,3568:1,6.4,23,35
17047,Illinois,Edwards,31,8.2,25,,,,6.0,16,30
17049,Illinois,Effingham,32,8.4,22,45,26,1320:1,4.9,14,30
17051,Illinois,Fayette,33,7.0,22,37,4,5468:1,6.5,30,30
17053,Illinois,Ford,28,8.1,23,63,8,1711:1,5.4,18,23
17055,Illinois,Franklin,30,7.4,28,57,15,2627:1,8.2,28,35
17057,Illinois,Fulton,31,7.8,28,69,12,3001:1,7.7,21,36
17059,Illinois,Gallatin,28,4.8,25,37,1,5291:1,6.9,28,41
17061,Illinois,Greene,29,8.3,26,56,4,3359:1,6.2,23,36
17063,Illinois,Grundy,30,8.4,23,62,15,3362:1,6.8,10,24
17065,Illinois,Hamilton,28,7.8,25,27,4,2074:1,5.3,22,15
17067,Illinois,Hancock,29,6.7,26,52,7,2652:1,6.4,19,26
17069,Illinois,Hardin,31,6.9,26,94,3,1376:1,8.2,36,26
17071,Illinois,Henderson,30,8.7,26,12,1,6916:1,5.9,19,38
17073,Illinois,Henry,31,8.2,27,69,17,2920:1,6.2,15,26
17075,Illinois,Iroquois,34,8.2,28,51,14,2063:1,5.7,20,31
17077,Illinois,Jackson,32,5.8,26,74,69,865:1,5.6,30,39
17079,Illinois,Jasper,30,8.6,24,42,1,9623:1,6.3,17,14
17081,Illinois,Jefferson,30,7.1,24,48,26,1482:1,6.8,27,32
17083,Illinois,Jersey,33,8.4,25,56,7,3224:1,6.3,16,28
17085,Illinois,Jo Daviess,30,8.3,23,56,10,2225:1,5.5,14,29
17087,Illinois,Johnson,29,6.5,22,69,1,12601:1,8.6,20,22
17089,Illinois,Kane,25,9.1,16,95,225,2344:1,5.8,16,26
17091,Illinois,Kankakee,30,7.4,22,83,47,2370:1,6.8,22,38
17093,Illinois,Kendall,34,9.2,21,93,41,2960:1,5.1,7,18
17095,Illinois,Knox,26,7.5,25,69,35,1488:1,6.2,27,42
17097,Illinois,Lake,28,8.7,19,97,767,919:1,5.5,12,24
17099,Illinois,LaSalle,27,7.8,24,75,46,2418:1,7.0,20,32
17101,Illinois,Lawrence,29,7.4,24,44,4,4130:1,7.1,23,36
17103,Illinois,Lee,33,8.3,30,71,26,1336:1,5.4,18,30
17105,Illinois,Livingston,29,8.3,28,67,20,1895:1,5.5,18,33
17107,Illinois,Logan,29,7.5,23,65,10,2975:1,5.5,20,31
17109,Illinois,McDonough,27,5.8,22,68,16,1993:1,6.3,26,31
17111,Illinois,McHenry,28,8.7,21,95,165,1862:1,5.3,11,19
17113,Illinois,McLean,29,7.5,21,83,104,1674:1,4.9,12,26
17115,Illinois,Macon,30,6.6,23,83,97,1117:1,7.1,28,42
17117,Illinois,Macoupin,31,8.1,24,61,13,3573:1,6.3,21,30
17119,Illinois,Madison,32,7.2,28,88,133,2004:1,6.1,18,33
17121,Illinois,Marion,34,6.9,27,63,17,2269:1,6.9,30,41
17123,Illinois,Marshall,29,8.4,24,66,,,6.7,16,22
17125,Illinois,Mason,32,7.8,26,54,3,4633:1,7.2,23,37
17127,Illinois,Massac,31,7.5,25,67,3,4968:1,7.4,27,35
17129,Illinois,Menard,28,8.9,22,62,5,2514:1,4.8,17,29
17131,Illinois,Mercer,31,7.7,25,46,3,5315:1,6.2,14,26
17133,Illinois,Monroe,33,8.9,27,71,14,2409:1,4.4,6,19
17135,Illinois,Montgomery,31,7.4,30,45,14,2097:1,7.7,24,36
17137,Illinois,Morgan,29,7.3,25,67,16,2183:1,5.1,22,37
17139,Illinois,Moultrie,29,8.5,22,58,4,3709:1,4.4,16,24
17141,Illinois,Ogle,31,8.4,21,66,29,1796:1,6.2,15,26
17143,Illinois,Peoria,29,6.9,24,77,228,822:1,6.9,23,42
17145,Illinois,Perry,29,6.9,22,38,11,1970:1,7.2,24,37
17147,Illinois,Piatt,29,9.0,22,54,8,2054:1,5.1,9,18
17149,Illinois,Pike,33,7.5,29,41,7,2289:1,5.2,23,25
17151,Illinois,Pope,30,7.4,24,98,,,7.0,31,27
17153,Illinois,Pulaski,27,4.6,24,34,,,9.0,40,39
17155,Illinois,Putnam,30,8.7,23,13,1,5814:1,6.4,16,38
17157,Illinois,Randolph,28,8.0,23,61,15,2191:1,5.5,20,36
17159,Illinois,Richland,29,8.1,27,65,6,2677:1,6.0,20,31
17161,Illinois,Rock Island,32,7.6,23,84,80,1826:1,6.5,21,42
17163,Illinois,St. Clair,33,5.8,24,83,155,1714:1,6.6,26,44
17165,Illinois,Saline,30,6.1,23,70,19,1295:1,7.7,35,43
17167,Illinois,Sangamon,29,7.4,24,77,225,884:1,5.3,23,41
17169,Illinois,Schuyler,32,7.9,24,50,1,7330:1,5.9,20,42
17171,Illinois,Scott,30,8.4,25,5,1,5204:1,5.8,18,41
17173,Illinois,Shelby,31,8.0,26,49,7,3150:1,6.0,17,25
17175,Illinois,Stark,30,7.7,25,44,1,5813:1,6.6,18,24
17177,Illinois,Stephenson,33,7.7,28,76,20,2322:1,6.7,23,46
17179,Illinois,Tazewell,31,7.8,25,85,63,2154:1,6.3,12,26
17181,Illinois,Union,28,7.7,25,57,13,1342:1,7.8,26,27
17183,Illinois,Vermilion,35,6.9,27,66,36,2215:1,7.1,29,47
17185,Illinois,Wabash,32,8.3,28,62,5,2310:1,5.7,20,22
17187,Illinois,Warren,31,8.6,27,66,8,2234:1,5.4,21,38
17189,Illinois,Washington,29,8.4,22,46,3,4779:1,3.9,14,26
17191,Illinois,Wayne,29,7.7,26,33,7,2363:1,7.0,22,24
17193,Illinois,White,29,7.1,25,46,4,3594:1,5.8,23,27
17195,Illinois,Whiteside,29,8.3,27,78,32,1777:1,6.3,20,35
17197,Illinois,Will,28,8.5,21,94,388,1767:1,6.0,11,23
17199,Illinois,Williamson,32,7.5,26,62,59,1136:1,6.2,25,36
17201,Illinois,Winnebago,34,7.3,27,89,215,1342:1,7.1,23,43
17203,Illinois,Woodford,31,8.9,23,68,22,1781:1,5.1,9,20
